lat,lon,growth_rate
-88.5,47.5,2.089141223904562
-88.5,48.5,2.0891730446286374
-88.5,49.5,2.089057968441864
-88.5,50.5,2.089037515521966
-88.5,51.5,2.0889932891796548
-88.5,52.5,2.0879448880802443
-88.5,53.5,2.08787564509646
-88.5,54.5,2.078131369293658
-88.5,55.5,2.087833302758781
-88.5,56.5,2.087821065253877
-88.5,57.5,2.0878081175664533
-88.5,58.5,2.087727416738176
-88.5,59.5,2.077989640526198
-88.5,60.5,2.0876773966419933
-88.5,61.5,2.0779302700112225
-88.5,62.5,2.0779776615744936
-88.5,63.5,2.0875088434787017
-88.5,64.5,2.0874569998230186
-88.5,65.5,2.077861988875952
-88.5,66.5,2.0874088846009613
-88.5,67.5,2.077780869985247
-88.5,68.5,2.0873292871905846
-88.5,69.5,2.077705152230692
-88.5,70.5,2.087263455112577
-88.5,71.5,2.077620391226162
-88.5,72.5,2.0775843745815337
-88.5,73.5,2.0870170668991364
-88.5,74.5,2.0869705381192034
-88.5,75.5,2.086986560519847
-88.5,76.5,2.086922393148029
-88.5,77.5,2.086799568182414
-88.5,78.5,2.0773454342268
-88.5,79.5,2.0867075203905188
-88.5,80.5,2.0866835169928777
-88.5,81.5,2.0865848066089256
-88.5,82.5,2.0763091670817744
-88.5,83.5,2.076262463549824
-88.5,84.5,2.085785578012008
-88.5,85.5,2.0856754344688966
-88.5,86.5,2.085651424394996
-88.5,87.5,2.07607999861051
-88.5,88.5,2.076038029422193
-88.5,89.5,2.085418891801908
-88.5,90.5,2.085380794187813
-88.5,91.5,2.0852983518692554
-88.5,92.5,2.085142073237705
-88.5,93.5,2.0757060681055464
-88.5,94.5,2.0850076400590183
-88.5,95.5,2.085000723266205
-88.5,96.5,2.07556847380738
-88.5,97.5,2.0849017535834378
-88.5,98.5,2.075482212317752
-88.5,99.5,2.084729008553893
-88.5,100.5,2.084667013581509
-88.5,101.5,2.084608944802653
-88.5,102.5,2.075314616274113
-88.5,103.5,2.084558067940975
-88.5,104.5,2.084458577809073
-88.5,105.5,2.0844431917240627
-88.5,106.5,2.084425595265259
-88.5,107.5,2.084358033010915
-88.5,108.5,2.0750761917250315
-88.5,109.5,2.075046749334604
-88.5,110.5,2.0750098895524616
-88.5,111.5,2.084174828138373
-88.5,112.5,2.084112493094949
-88.5,113.5,2.0840368327109218
-88.5,114.5,2.0748683219333657
-88.5,115.5,2.083980015832765
-88.5,116.5,2.0838407007861406
-88.5,117.5,2.083884165479617
-88.5,118.5,2.0837518625006624
-88.5,119.5,2.0837107959222294
-88.5,120.5,2.0836917252592
-88.5,121.5,2.0836695795847504
-88.5,122.5,2.0746248617215883
-88.5,123.5,2.0835799414725784
-88.5,124.5,2.083169931705811
-88.5,125.5,2.083074258282579
-88.5,126.5,2.083056967242385
-88.5,127.5,2.0830743626862613
-88.5,128.5,2.08303721868441
-88.5,129.5,2.073964867401344
-88.5,130.5,2.073955861248976
-88.5,131.5,2.082961679069456
-88.5,132.5,2.082924604573577
-88.5,133.5,2.0829541103918814
-88.5,134.5,2.083133506296861
-88.5,135.5,2.0831515581952544
-88.5,136.5,2.083141327350745
-88.5,137.5,2.0831629145078523
-88.5,138.5,2.083133524345328
-88.5,139.5,2.083186774851697
-88.5,140.5,2.083189419327823
-88.5,141.5,2.083225465177918
-88.5,142.5,2.083168514232284
-88.5,143.5,2.0832295324084384
-88.5,144.5,2.083207529463152
-88.5,145.5,2.074492938991966
-88.5,146.5,2.0832248390991595
-88.5,147.5,2.0832455119708584
