lat,lon,growth_err
-89.5,114.5,0.049160086982286
-89.5,115.5,0.0676798715792712
-89.5,116.5,0.0491562495646287
-89.5,117.5,0.0490864444876725
-89.5,118.5,0.0675751864559476
-89.5,119.5,0.0491647948023461
-89.5,120.5,0.0491531228702773
-89.5,121.5,0.049158852248627
-89.5,122.5,0.067454663690858
-89.5,123.5,0.0490631242464922
-89.5,124.5,0.0490662320915606
-89.5,125.5,0.0490717581330621
-89.5,126.5,0.049155971977797
-89.5,127.5,0.0490679791647208
-89.5,128.5,0.0491526742002694
-89.5,129.5,0.0673519069412215
-89.5,130.5,0.0491006586013994
-89.5,131.5,0.0672715644033047
-89.5,132.5,0.0491043381106918
-89.5,133.5,0.0490618130947431
-89.5,134.5,0.0671312892602034
-89.5,135.5,0.0491421028514284
-89.5,136.5,0.0490528206979286
-89.5,137.5,0.0669977109468095
-89.5,138.5,0.0670124931251819
-89.5,139.5,0.0490528124677481
-89.5,140.5,0.0669462222731586
-89.5,141.5,0.0491217239780817
-89.5,142.5,0.0668949094010777
-89.5,143.5,0.0490464166875274
-89.5,144.5,0.0668057306844737
-89.5,145.5,0.0668654424863435
-89.5,146.5,0.066771362400442
-89.5,147.5,0.0490790395074556
-89.5,148.5,0.0667459755760894
-89.5,149.5,0.0490835040800596
-89.5,150.5,0.0491676145888749
-89.5,151.5,0.0667299206164527
-89.5,152.5,0.0491273661981806
-89.5,153.5,0.0490908228311265
-89.5,154.5,0.0491626628577255
-89.5,155.5,0.0666766109002261
-89.5,156.5,0.0666588665869834
-89.5,157.5,0.0666713257268442
-89.5,158.5,0.0666313298466816
-89.5,159.5,0.0490748503389072
-89.5,160.5,0.0666111009056911
-89.5,161.5,0.0665995912497746
-89.5,162.5,0.0490826282875105
-89.5,163.5,0.0665809853179063
-89.5,164.5,0.049127947092651
-89.5,165.5,0.0665525996813122
-89.5,166.5,0.0665455048540816
-89.5,167.5,0.0490799554722292
-89.5,168.5,0.0665314756236818
-89.5,169.5,0.0490751081042046
-89.5,170.5,0.0665010398046279
-89.5,171.5,0.0664803194185251
-89.5,172.5,0.0490887468198229
-89.5,173.5,0.0664650969039902
-89.5,174.5,0.0664421117407966
-89.5,175.5,0.0490743728200954
-89.5,176.5,0.0490654259265161
-89.5,177.5,0.0664094737200028
-89.5,178.5,0.0664182669274123
-89.5,179.5,0.0490743967759353
-88.5,-179.5,0.0650667270766184
-88.5,-178.5,0.0491512529663918
-88.5,-177.5,0.0491596703489237
-88.5,-176.5,0.0650027171474603
-88.5,-175.5,0.0491541479840747
-88.5,-174.5,0.0491591176414225
-88.5,-173.5,0.0649228461346858
-88.5,-172.5,0.0649056234846693
-88.5,-171.5,0.0648825069734132
