lat,lon,cams_xco2
-88.5,-118.5,412.9521
-88.5,-117.5,412.95218
-88.5,-116.5,412.9523
-88.5,-115.5,412.95245
-88.5,-114.5,412.9525
-88.5,-113.5,412.95267
-88.5,-112.5,412.9528
-88.5,-111.5,412.95282
-88.5,-110.5,412.95294
-88.5,-109.5,412.95303
-88.5,-108.5,412.95316
-88.5,-107.5,412.9533
-88.5,-106.5,412.95343
-88.5,-105.5,412.95355
-88.5,-104.5,412.95364
-88.5,-103.5,412.95377
-88.5,-102.5,412.9539
-88.5,-101.5,412.95398
-88.5,-100.5,412.95407
-88.5,-99.5,412.9542
-88.5,-98.5,412.9543
-88.5,-97.5,412.95444
-88.5,-96.5,412.9545
-88.5,-95.5,412.95462
-88.5,-94.5,412.9548
-88.5,-93.5,412.9549
-88.5,-92.5,412.95496
-88.5,-91.5,412.99393
-88.5,-90.5,412.99405
-88.5,-89.5,412.99414
-88.5,-88.5,412.99417
-88.5,-87.5,412.99426
-88.5,-86.5,412.99445
-88.5,-85.5,412.9945
-88.5,-84.5,412.9946
-88.5,-83.5,412.99478
-88.5,-82.5,412.99487
-88.5,-81.5,412.9779
-88.5,-80.5,412.97803
-88.5,-79.5,412.97818
-88.5,-78.5,412.97824
-88.5,-77.5,412.9784
-88.5,-76.5,412.97845
-88.5,-75.5,412.97855
-88.5,-74.5,412.97864
-88.5,-73.5,412.97873
-88.5,-72.5,412.97888
-88.5,-71.5,412.97897
-88.5,-70.5,412.97903
-88.5,-69.5,412.9791
-88.5,-68.5,412.97925
-88.5,-67.5,412.97928
-88.5,-66.5,412.97937
-88.5,-65.5,412.9795
-88.5,-64.5,412.97958
-88.5,-63.5,412.97968
-88.5,-62.5,412.97977
-88.5,-61.5,413.00555
-88.5,-60.5,413.0057
-88.5,-59.5,413.00574
-88.5,-58.5,413.00583
-88.5,-57.5,413.00592
-88.5,-56.5,413.00598
-88.5,-55.5,413.00607
-88.5,-54.5,413.00613
-88.5,-53.5,413.0062
-88.5,-52.5,413.0063
-88.5,-51.5,412.99216
-88.5,-50.5,412.99225
-88.5,-49.5,412.99234
-88.5,-48.5,412.99237
-88.5,-47.5,412.99243
-88.5,-46.5,412.99246
-88.5,-45.5,412.99258
-88.5,-44.5,412.99265
-88.5,-43.5,412.99268
-88.5,-42.5,412.99274
-88.5,-41.5,412.99277
-88.5,-40.5,412.99286
-88.5,-39.5,412.9929
-88.5,-38.5,412.99295
-88.5,-37.5,412.993
-88.5,-36.5,412.993
-88.5,-35.5,412.9931
-88.5,-34.5,412.99316
-88.5,-33.5,412.9932
-88.5,-32.5,412.99323
-88.5,-31.5,412.9933
-88.5,-30.5,412.9933
-88.5,-29.5,412.99332
-88.5,-28.5,412.99338
-88.5,-27.5,412.9934
-88.5,-26.5,412.99344
-88.5,-25.5,412.99344
-88.5,-24.5,412.9935
-88.5,-23.5,412.99353
-88.5,-22.5,412.99353
-88.5,-21.5,412.99353
-88.5,-20.5,412.9936
-88.5,-19.5,412.99445
-88.5,-18.5,412.99448
-88.5,-17.5,412.9945
-88.5,-16.5,412.9945
-88.5,-15.5,412.9945
-88.5,-14.5,412.99448
-88.5,-13.5,412.9945
-88.5,-12.5,412.99457
