lat,lon,cams_xco2
-88.5,45.5,415.0277
-88.5,46.5,415.02762
-88.5,47.5,415.02753
-88.5,48.5,415.02744
-88.5,49.5,415.02734
-88.5,50.5,415.02728
-88.5,51.5,415.02713
-88.5,52.5,414.9985
-88.5,53.5,414.9984
-88.5,54.5,414.9982
-88.5,55.5,414.9981
-88.5,56.5,414.99796
-88.5,57.5,414.9978
-88.5,58.5,414.9976
-88.5,59.5,414.99747
-88.5,60.5,414.99734
-88.5,61.5,414.99716
-88.5,62.5,415.0009
-88.5,63.5,415.00073
-88.5,64.5,415.00055
-88.5,65.5,415.00034
-88.5,66.5,415.0002
-88.5,67.5,415.0
-88.5,68.5,414.99982
-88.5,69.5,414.99966
-88.5,70.5,414.99948
-88.5,71.5,414.99933
-88.5,72.5,414.9991
-88.5,73.5,414.99896
-88.5,74.5,414.99875
-88.5,75.5,414.9986
-88.5,76.5,414.9984
-88.5,77.5,414.99823
-88.5,78.5,414.99802
-88.5,79.5,414.99786
-88.5,80.5,414.99768
-88.5,81.5,414.99747
-88.5,82.5,414.98022
-88.5,83.5,414.97998
-88.5,84.5,414.97977
-88.5,85.5,414.9795
-88.5,86.5,414.9793
-88.5,87.5,414.97906
-88.5,88.5,414.97885
-88.5,89.5,414.9786
-88.5,90.5,414.97842
-88.5,91.5,414.97818
-88.5,92.5,414.97852
-88.5,93.5,414.97824
-88.5,94.5,414.978
-88.5,95.5,414.97775
-88.5,96.5,414.97754
-88.5,97.5,414.97733
-88.5,98.5,414.97702
-88.5,99.5,414.9768
-88.5,100.5,414.97653
-88.5,101.5,414.9763
-88.5,102.5,414.97607
-88.5,103.5,414.97586
-88.5,104.5,414.97565
-88.5,105.5,414.97537
-88.5,106.5,414.97516
-88.5,107.5,414.9749
-88.5,108.5,414.9747
-88.5,109.5,414.9745
-88.5,110.5,414.97424
-88.5,111.5,414.97406
-88.5,112.5,414.97385
-88.5,113.5,414.97363
-88.5,114.5,414.97336
-88.5,115.5,414.9732
-88.5,116.5,414.973
-88.5,117.5,414.97278
-88.5,118.5,414.9725
-88.5,119.5,414.97235
-88.5,120.5,414.97226
-88.5,121.5,414.97202
-88.5,122.5,414.97183
-88.5,123.5,414.97162
-88.5,124.5,414.96216
-88.5,125.5,414.96194
-88.5,126.5,414.96173
-88.5,127.5,414.96155
-88.5,128.5,414.96133
-88.5,129.5,414.9612
-88.5,130.5,414.961
-88.5,131.5,414.96082
-88.5,132.5,414.9607
-88.5,133.5,414.96054
-88.5,134.5,414.96854
-88.5,135.5,414.9684
-88.5,136.5,414.9683
