lat,lon,mean_co2
-88.5,64.5,396.1795247560212
-88.5,65.5,396.18692150827377
-88.5,66.5,396.1793386724684
-88.5,67.5,396.1866940998164
-88.5,68.5,396.1791367618868
-88.5,69.5,396.1864630046843
-88.5,70.5,396.1789311354211
-88.5,71.5,396.1862375972402
-88.5,72.5,396.1861146006645
-88.5,73.5,396.1785620454435
-88.5,74.5,396.17845407665743
-88.5,75.5,396.1783716299135
-88.5,76.5,396.17825836860015
-88.5,77.5,396.1781097768007
-88.5,78.5,396.185367774402
-88.5,79.5,396.17789258847125
-88.5,80.5,396.1777872650642
-88.5,81.5,396.1776539253248
-88.5,82.5,396.1730792527274
-88.5,83.5,396.172930497295
-88.5,84.5,396.1656613537124
-88.5,85.5,396.1654964049245
-88.5,86.5,396.16536909392914
-88.5,87.5,396.17229780417927
-88.5,88.5,396.1721400866972
-88.5,89.5,396.1649177845799
-88.5,90.5,396.1647828993627
-88.5,91.5,396.1646323233021
-88.5,92.5,396.1645967412369
-88.5,93.5,396.1713755786741
-88.5,94.5,396.16424583150297
-88.5,95.5,396.164098955912
-88.5,96.5,396.1708391274757
-88.5,97.5,396.16376664603234
-88.5,98.5,396.1704702483642
-88.5,99.5,396.1634131027396
-88.5,100.5,396.1632402394197
-88.5,101.5,396.1630792097236
-88.5,102.5,396.16973657612976
-88.5,103.5,396.162776636945
-88.5,104.5,396.1625937788162
-88.5,105.5,396.1624495494834
-88.5,106.5,396.1623018974635
-88.5,107.5,396.1621378375033
-88.5,108.5,396.16863783428846
-88.5,109.5,396.1684534031902
-88.5,110.5,396.168275834248
-88.5,111.5,396.1615252153805
-88.5,112.5,396.16136622016944
-88.5,113.5,396.1612024547316
-88.5,114.5,396.16755304296686
-88.5,115.5,396.16092064643897
-88.5,116.5,396.1607404435852
-88.5,117.5,396.1606286480175
-88.5,118.5,396.1604542882882
-88.5,119.5,396.16031635898287
-88.5,120.5,396.1601802568839
-88.5,121.5,396.1600531427501
-88.5,122.5,396.1661529789583
-88.5,123.5,396.1597810499163
-88.5,124.5,396.1531409613009
-88.5,125.5,396.1529827944557
-88.5,126.5,396.1528529197998
-88.5,127.5,396.152740743696
-88.5,128.5,396.1526122664328
-88.5,129.5,396.1583990305619
-88.5,130.5,396.15824872786646
-88.5,131.5,396.15224260133255
-88.5,132.5,396.1521164946178
-88.5,133.5,396.15202085183375
-88.5,134.5,396.1573409464344
-88.5,135.5,396.1572196857044
-88.5,136.5,396.157092185582
-88.5,137.5,396.1569801922499
-88.5,138.5,396.1568454520621
-88.5,139.5,396.15674679530224
-88.5,140.5,396.1566283086014
-88.5,141.5,396.1565270220757
-88.5,142.5,396.1563938111863
-88.5,143.5,396.15630523987954
-88.5,144.5,396.1561889991902
-88.5,145.5,396.16166905761344
-88.5,146.5,396.1559852442345
-88.5,147.5,396.15588781589946
-88.5,148.5,396.1613128186845
-88.5,149.5,396.15571049987534
-88.5,150.5,396.1610695895507
-88.5,151.5,396.1609604755791
-88.5,152.5,396.1554623656363
-88.5,153.5,396.1553766108178
-88.5,154.5,396.1474688702135
-88.5,155.5,396.1526119613384
-88.5,156.5,396.1525371022981
-88.5,157.5,396.15246630911184
